prompt_id,primary_error,count
P1_zeroshot,complete_hallucination,2074
P1_zeroshot,complete_miss,21710
P1_zeroshot,correct,31
P1_zeroshot,empty_response,238
P1_zeroshot,partial_match_good,457
P1_zeroshot,partial_match_high_precision,193
P1_zeroshot,partial_match_high_recall,2661
P1_zeroshot,partial_match_poor,2636
P2_constrained,complete_hallucination,5032
P2_constrained,complete_miss,19502
P2_constrained,correct,238
P2_constrained,empty_response,428
P2_constrained,partial_match_good,783
P2_constrained,partial_match_high_precision,531
P2_constrained,partial_match_high_recall,1543
P2_constrained,partial_match_poor,1943
P3_fewshot,complete_hallucination,1298
P3_fewshot,complete_miss,21720
P3_fewshot,correct,27
P3_fewshot,empty_response,753
P3_fewshot,partial_match_good,522
P3_fewshot,partial_match_high_precision,197
P3_fewshot,partial_match_high_recall,2842
P3_fewshot,partial_match_poor,2641
P4_cot,complete_hallucination,3139
P4_cot,complete_miss,20583
P4_cot,correct,74
P4_cot,empty_response,688
P4_cot,partial_match_good,652
P4_cot,partial_match_high_precision,374
P4_cot,partial_match_high_recall,2211
P4_cot,partial_match_poor,2279
P5_selection,complete_hallucination,1439
P5_selection,complete_miss,19545
P5_selection,correct,134
P5_selection,empty_response,2698
P5_selection,partial_match_good,1396
P5_selection,partial_match_high_precision,753
P5_selection,partial_match_high_recall,2160
P5_selection,partial_match_poor,1875
