complete_hallucination,complete_miss,correct,empty_response,partial_match_good,partial_match_high_precision,partial_match_high_recall,partial_match_poor
10.33,67.9,0.28,2.81,3.23,1.53,6.79,7.13
10.85,78.05,0.06,0.67,0.97,0.57,4.48,4.35
6.63,75.83,0.17,1.01,2.73,1.34,5.87,6.43
4.8,66.52,0.27,0.87,3.59,1.59,11.0,11.35
3.75,79.48,0.0,0.03,0.41,0.16,8.72,7.45
8.26,63.39,0.68,1.79,4.03,2.12,9.85,9.87
4.81,71.15,0.21,2.75,1.41,0.76,9.73,9.17
5.7,63.25,0.51,6.18,3.31,1.46,10.02,9.58
21.91,62.0,0.59,5.81,2.53,1.95,1.93,3.29
9.51,59.49,0.59,10.11,3.18,2.18,7.72,7.21
