model,precision,recall,f1,hallucination_rate,empty_response,n_predicted,n_ground_truth
Mistral Large 123B,0.0886,0.1402,0.0934,0.3706,0.0179,6.0573,2.5577
Llama 3.3 70B,0.0823,0.1441,0.0922,0.3817,0.0087,6.2043,2.5577
Qwen2.5 72B,0.0778,0.1327,0.0858,0.3064,0.0618,5.4093,2.5577
Qwen3 32B,0.0735,0.1103,0.0755,0.3385,0.1011,4.3043,2.5577
google/gemma-4-31b,0.0643,0.0968,0.0685,0.4173,0.0281,4.2442,2.5577
Llama 3.1 8B,0.0579,0.0839,0.0615,0.3929,0.0101,3.7633,2.5577
Mixtral 8x7B,0.0492,0.1092,0.0586,0.4567,0.0275,7.4335,2.5577
Qwen2.5 7B,0.0488,0.0495,0.0437,0.4744,0.0581,2.9751,2.5577
Mistral 7B,0.0313,0.0868,0.0416,0.4898,0.0003,7.6444,2.5577
Gemma3 12B,0.0283,0.0525,0.0321,0.5044,0.0067,5.6167,2.5577
