model,namespace_short,precision,recall,f1,hallucination_rate,empty_response,n_predicted,n_ground_truth
Gemma3 12B,BP,0.0059,0.0093,0.006,0.5307,0.0106,6.7382,4.231
Gemma3 12B,CC,0.0709,0.129,0.0804,0.4424,0.0058,4.574,1.964
Gemma3 12B,MF,0.0082,0.0192,0.0101,0.5402,0.0038,5.538,1.478
Llama 3.1 8B,BP,0.0223,0.0288,0.022,0.4892,0.0218,4.4282,4.231
Llama 3.1 8B,CC,0.1197,0.1646,0.125,0.2875,0.0044,3.169,1.964
Llama 3.1 8B,MF,0.0318,0.0583,0.0376,0.402,0.004,3.6928,1.478
Llama 3.3 70B,BP,0.0368,0.0803,0.0434,0.4994,0.0166,8.6248,4.231
Llama 3.3 70B,CC,0.1683,0.2539,0.1805,0.1774,0.0032,4.6882,1.964
Llama 3.3 70B,MF,0.0417,0.098,0.0528,0.4683,0.0064,5.3,1.478
Mistral 7B,BP,0.0091,0.0228,0.011,0.5632,0.0,8.9034,4.231
Mistral 7B,CC,0.0711,0.1943,0.095,0.3901,0.0008,6.8902,1.964
Mistral 7B,MF,0.0136,0.0433,0.0189,0.5161,0.0,7.1396,1.478
Mistral Large 123B,BP,0.0396,0.0729,0.0409,0.4755,0.0424,8.8708,4.231
Mistral Large 123B,CC,0.1836,0.2667,0.1904,0.1727,0.003,4.5864,1.964
Mistral Large 123B,MF,0.0427,0.0809,0.0488,0.4634,0.0084,4.7146,1.478
Mixtral 8x7B,BP,0.0178,0.0432,0.0205,0.5302,0.0318,9.551,4.231
Mixtral 8x7B,CC,0.1049,0.2219,0.1246,0.3271,0.0358,6.111,1.964
Mixtral 8x7B,MF,0.0248,0.0625,0.0307,0.5128,0.015,6.6386,1.478
Qwen2.5 72B,BP,0.0301,0.0567,0.033,0.4226,0.0812,7.3636,4.231
Qwen2.5 72B,CC,0.1696,0.2684,0.1839,0.1198,0.022,4.1876,1.964
Qwen2.5 72B,MF,0.0336,0.0731,0.0406,0.3769,0.0822,4.6766,1.478
Qwen2.5 7B,BP,0.0123,0.0119,0.0101,0.5594,0.0816,3.9642,4.231
Qwen2.5 7B,CC,0.1205,0.1192,0.1071,0.3175,0.08,2.1906,1.964
Qwen2.5 7B,MF,0.0136,0.0173,0.0137,0.5464,0.0126,2.7704,1.478
Qwen3 32B,BP,0.035,0.0495,0.0343,0.4255,0.0716,5.2488,4.231
Qwen3 32B,CC,0.1517,0.2192,0.1541,0.1715,0.1368,3.4788,1.964
Qwen3 32B,MF,0.0336,0.0622,0.0382,0.4183,0.095,4.1854,1.478
google/gemma-4-31b,BP,0.0192,0.0268,0.0177,0.4919,0.0582,5.4672,4.231
google/gemma-4-31b,CC,0.1541,0.235,0.1669,0.2268,0.0022,3.8826,1.964
google/gemma-4-31b,MF,0.0195,0.0285,0.021,0.5332,0.0238,3.3828,1.478
