model,organism,precision,recall,f1,hallucination_rate,empty_response,n_predicted,n_ground_truth
Gemma3 12B,ecoli,0.0279,0.0643,0.0352,0.5359,0.004,4.9973,1.87
Gemma3 12B,human,0.042,0.0657,0.0446,0.493,0.0057,5.9217,3.1017
Gemma3 12B,mouse,0.0283,0.0524,0.0315,0.4872,0.0127,5.9683,3.3417
Gemma3 12B,yeast,0.0358,0.0591,0.0394,0.5119,0.004,5.4753,2.1483
Gemma3 12B,zebrafish,0.0076,0.0209,0.01,0.4941,0.0073,5.721,2.3267
Llama 3.1 8B,ecoli,0.0565,0.0987,0.0673,0.4309,0.024,3.2863,1.87
Llama 3.1 8B,human,0.0765,0.0914,0.0741,0.3845,0.0097,4.0537,3.1017
Llama 3.1 8B,mouse,0.0566,0.0797,0.0581,0.3804,0.005,4.194,3.3417
Llama 3.1 8B,yeast,0.0768,0.1084,0.0816,0.3801,0.0067,3.5227,2.1483
Llama 3.1 8B,zebrafish,0.0234,0.0411,0.0265,0.3887,0.005,3.76,2.3267
Llama 3.3 70B,ecoli,0.0793,0.1658,0.0984,0.4364,0.0213,5.1777,1.87
Llama 3.3 70B,human,0.1118,0.1587,0.1143,0.3635,0.0063,6.866,3.1017
Llama 3.3 70B,mouse,0.0783,0.1409,0.0878,0.3643,0.005,7.115,3.3417
Llama 3.3 70B,yeast,0.1095,0.1827,0.1208,0.3887,0.0067,5.4687,2.1483
Llama 3.3 70B,zebrafish,0.0325,0.0724,0.0397,0.3556,0.0043,6.3943,2.3267
Mistral 7B,ecoli,0.0347,0.1203,0.0504,0.4949,0.0,6.65,1.87
Mistral 7B,human,0.041,0.0872,0.0499,0.4946,0.0003,8.0803,3.1017
Mistral 7B,mouse,0.0297,0.0807,0.0387,0.4859,0.0007,8.2337,3.3417
Mistral 7B,yeast,0.0413,0.1104,0.0553,0.4846,0.0,7.519,2.1483
Mistral 7B,zebrafish,0.0096,0.0354,0.0138,0.4889,0.0003,7.739,2.3267
Mistral Large 123B,ecoli,0.0824,0.1437,0.0936,0.4193,0.034,4.7393,1.87
Mistral Large 123B,human,0.119,0.1658,0.1173,0.3562,0.0127,6.7727,3.1017
Mistral Large 123B,mouse,0.0857,0.1434,0.0905,0.354,0.0113,6.955,3.3417
Mistral Large 123B,yeast,0.1214,0.1798,0.1261,0.3724,0.019,5.7117,2.1483
Mistral Large 123B,zebrafish,0.0346,0.0681,0.0394,0.351,0.0127,6.1077,2.3267
Mixtral 8x7B,ecoli,0.0497,0.126,0.063,0.4941,0.029,6.6013,1.87
Mixtral 8x7B,human,0.0645,0.1188,0.0714,0.455,0.019,8.192,3.1017
Mixtral 8x7B,mouse,0.0527,0.1204,0.0625,0.4399,0.0327,7.9367,3.3417
Mixtral 8x7B,yeast,0.0615,0.1334,0.0738,0.4589,0.0263,7.4213,2.1483
Mixtral 8x7B,zebrafish,0.0175,0.0476,0.0223,0.4357,0.0307,7.0163,2.3267
Qwen2.5 72B,ecoli,0.0674,0.1303,0.0808,0.3585,0.071,4.2743,1.87
Qwen2.5 72B,human,0.1055,0.1489,0.1079,0.2969,0.056,5.8453,3.1017
Qwen2.5 72B,mouse,0.0807,0.1444,0.0882,0.2831,0.0553,6.4077,3.3417
Qwen2.5 72B,yeast,0.108,0.177,0.1189,0.3094,0.0637,4.9893,2.1483
Qwen2.5 72B,zebrafish,0.0274,0.063,0.0332,0.2842,0.063,5.5297,2.3267
Qwen2.5 7B,ecoli,0.0501,0.0581,0.0497,0.4977,0.09,2.3107,1.87
Qwen2.5 7B,human,0.0752,0.0626,0.0601,0.4637,0.0393,3.4073,3.1017
Qwen2.5 7B,mouse,0.0476,0.0543,0.044,0.4609,0.05,3.4723,3.3417
Qwen2.5 7B,yeast,0.058,0.0554,0.0509,0.4772,0.05,2.755,2.1483
Qwen2.5 7B,zebrafish,0.013,0.017,0.0136,0.4727,0.061,2.93,2.3267
Qwen3 32B,ecoli,0.0721,0.1302,0.0817,0.3974,0.084,3.8877,1.87
Qwen3 32B,human,0.0952,0.116,0.0885,0.3119,0.1137,4.332,3.1017
Qwen3 32B,mouse,0.0745,0.1109,0.0754,0.3153,0.1103,4.608,3.3417
Qwen3 32B,yeast,0.0972,0.1433,0.1012,0.3438,0.0967,4.121,2.1483
Qwen3 32B,zebrafish,0.0284,0.051,0.0308,0.324,0.101,4.573,2.3267
google/gemma-4-31b,ecoli,0.0601,0.0937,0.0665,0.4544,0.042,3.3303,1.87
google/gemma-4-31b,human,0.0845,0.1108,0.0846,0.4147,0.021,4.7003,3.1017
google/gemma-4-31b,mouse,0.0699,0.114,0.0754,0.4095,0.021,4.8207,3.3417
google/gemma-4-31b,yeast,0.0836,0.1193,0.0891,0.4067,0.029,3.994,2.1483
google/gemma-4-31b,zebrafish,0.0232,0.0461,0.0271,0.4012,0.0273,4.3757,2.3267
