model,prompt_id,precision,recall,f1,hallucination_rate,empty_response,n_predicted,n_ground_truth
Gemma3 12B,P1_zeroshot,0.0152,0.0415,0.0205,0.6336,0.0,6.627,2.5577
Gemma3 12B,P2_constrained,0.0162,0.0159,0.0145,0.6057,0.0097,3.125,2.5577
Gemma3 12B,P3_fewshot,0.0223,0.0639,0.0309,0.5171,0.0,7.8487,2.5577
Gemma3 12B,P4_cot,0.017,0.0301,0.0195,0.5933,0.0213,3.956,2.5577
Gemma3 12B,P5_selection,0.0709,0.1111,0.0754,0.1723,0.0027,6.527,2.5577
Llama 3.1 8B,P1_zeroshot,0.0508,0.0821,0.0574,0.4722,0.001,4.1293,2.5577
Llama 3.1 8B,P2_constrained,0.0628,0.0693,0.0587,0.4459,0.0077,3.1397,2.5577
Llama 3.1 8B,P3_fewshot,0.0545,0.0941,0.0631,0.4225,0.0,4.4757,2.5577
Llama 3.1 8B,P4_cot,0.0493,0.0629,0.0499,0.471,0.001,3.3867,2.5577
Llama 3.1 8B,P5_selection,0.0724,0.1111,0.0787,0.153,0.0407,3.6853,2.5577
Llama 3.3 70B,P1_zeroshot,0.0743,0.1462,0.088,0.4407,0.0,6.5837,2.5577
Llama 3.3 70B,P2_constrained,0.0667,0.1435,0.078,0.4611,0.0,10.4413,2.5577
Llama 3.3 70B,P3_fewshot,0.0794,0.156,0.0958,0.3805,0.0,6.2087,2.5577
Llama 3.3 70B,P4_cot,0.1005,0.1466,0.1043,0.3914,0.0093,4.4347,2.5577
Llama 3.3 70B,P5_selection,0.0904,0.1282,0.0949,0.2347,0.0343,3.3533,2.5577
Mistral 7B,P1_zeroshot,0.0317,0.0755,0.0405,0.5531,0.0007,6.719,2.5577
Mistral 7B,P2_constrained,0.0237,0.0735,0.0323,0.6254,0.0007,8.752,2.5577
Mistral 7B,P3_fewshot,0.0272,0.0749,0.0367,0.555,0.0,7.4777,2.5577
Mistral 7B,P4_cot,0.0274,0.0817,0.0373,0.5744,0.0,7.503,2.5577
Mistral 7B,P5_selection,0.0463,0.1285,0.0615,0.141,0.0,7.7703,2.5577
Mistral Large 123B,P1_zeroshot,0.0726,0.1511,0.0889,0.4242,0.0003,5.806,2.5577
Mistral Large 123B,P2_constrained,0.1149,0.1173,0.0999,0.4039,0.0,5.5047,2.5577
Mistral Large 123B,P3_fewshot,0.0664,0.164,0.0839,0.4237,0.0,11.4443,2.5577
Mistral Large 123B,P4_cot,0.0855,0.1481,0.095,0.3744,0.0057,5.2133,2.5577
Mistral Large 123B,P5_selection,0.1038,0.1204,0.0992,0.2265,0.0837,2.318,2.5577
Mixtral 8x7B,P1_zeroshot,0.0419,0.1079,0.0536,0.5434,0.029,8.2303,2.5577
Mixtral 8x7B,P2_constrained,0.039,0.0978,0.0489,0.5711,0.0143,8.734,2.5577
Mixtral 8x7B,P3_fewshot,0.0427,0.111,0.0534,0.5036,0.0327,7.9433,2.5577
Mixtral 8x7B,P4_cot,0.0383,0.1061,0.05,0.5267,0.0443,7.8127,2.5577
Mixtral 8x7B,P5_selection,0.084,0.1233,0.087,0.1387,0.0173,4.4473,2.5577
Qwen2.5 72B,P1_zeroshot,0.0635,0.1539,0.0824,0.3798,0.0,7.5157,2.5577
Qwen2.5 72B,P2_constrained,0.0959,0.1051,0.0865,0.3855,0.0,5.5177,2.5577
Qwen2.5 72B,P3_fewshot,0.0643,0.1524,0.0825,0.3222,0.0,6.787,2.5577
Qwen2.5 72B,P4_cot,0.0761,0.1375,0.0877,0.3494,0.0023,4.9363,2.5577
Qwen2.5 72B,P5_selection,0.0891,0.1147,0.0899,0.0954,0.3067,2.2897,2.5577
Qwen2.5 7B,P1_zeroshot,0.0342,0.0418,0.0346,0.5822,0.0,3.399,2.5577
Qwen2.5 7B,P2_constrained,0.0471,0.029,0.033,0.5555,0.0,1.9313,2.5577
Qwen2.5 7B,P3_fewshot,0.0406,0.0593,0.0442,0.5277,0.0,4.5667,2.5577
Qwen2.5 7B,P4_cot,0.0464,0.0434,0.0409,0.5857,0.0003,2.6293,2.5577
Qwen2.5 7B,P5_selection,0.0757,0.0738,0.0655,0.1212,0.29,2.349,2.5577
Qwen3 32B,P1_zeroshot,0.0742,0.1251,0.0822,0.4463,0.0473,4.723,2.5577
Qwen3 32B,P2_constrained,0.0892,0.1038,0.0845,0.4018,0.105,2.8103,2.5577
Qwen3 32B,P3_fewshot,0.0702,0.0965,0.0704,0.3248,0.2183,3.082,2.5577
Qwen3 32B,P4_cot,0.0744,0.0998,0.0742,0.3966,0.1287,3.3837,2.5577
Qwen3 32B,P5_selection,0.0593,0.1261,0.0664,0.1228,0.0063,7.5227,2.5577
google/gemma-4-31b,P1_zeroshot,0.0392,0.09,0.0502,0.4996,0.001,6.449,2.5577
google/gemma-4-31b,P2_constrained,0.0613,0.0727,0.0587,0.4508,0.0053,3.7357,2.5577
google/gemma-4-31b,P3_fewshot,0.0633,0.1083,0.0733,0.417,0.0,4.5623,2.5577
google/gemma-4-31b,P4_cot,0.0541,0.089,0.0603,0.4996,0.0163,4.2397,2.5577
google/gemma-4-31b,P5_selection,0.1034,0.1238,0.1003,0.2196,0.1177,2.2343,2.5577
