model,n,f1_mean,f1_ci_lower,f1_ci_upper,hr_mean,hr_ci_lower,hr_ci_upper
Mistral Large 123B,15000,0.0934,0.0903,0.0964,0.3706,0.3654,0.3759
Llama 3.3 70B,15000,0.0922,0.0895,0.095,0.3817,0.377,0.3864
Qwen2.5 72B,15000,0.0858,0.083,0.0887,0.3064,0.3017,0.3112
Qwen3 32B,15000,0.0755,0.0728,0.0783,0.3385,0.3333,0.3438
google/gemma-4-31b,15000,0.0685,0.066,0.0711,0.4173,0.4123,0.4225
Llama 3.1 8B,15000,0.0615,0.059,0.0641,0.3929,0.3883,0.3977
Mixtral 8x7B,15000,0.0586,0.0564,0.0608,0.4567,0.4519,0.4615
Qwen2.5 7B,15000,0.0437,0.0413,0.046,0.4744,0.4684,0.4805
Mistral 7B,15000,0.0416,0.04,0.0433,0.4898,0.4856,0.4942
Gemma3 12B,15000,0.0321,0.0305,0.0339,0.5044,0.4996,0.5091
