,Gemma-4 31B,Gemma3 12B,Llama 3.1 8B,Llama 3.3 70B,Mistral 7B,Mistral Large 123B,Mixtral 8x7B,Qwen2.5 72B,Qwen2.5 7B,Qwen3 32B
Gemma-4 31B,,0.6379,0.1008,-0.3064,0.4506,-0.311,0.1535,-0.2251,0.3872,-0.0962
Gemma3 12B,-0.6379,,-0.5368,-0.9339,-0.2277,-0.9079,-0.5422,-0.843,-0.2397,-0.7385
Llama 3.1 8B,-0.1008,0.5368,,-0.4059,0.346,-0.407,0.047,-0.3236,0.2874,-0.1975
Llama 3.3 70B,0.3064,0.9339,0.4059,,0.7584,-0.0139,0.4714,0.0778,0.6858,0.2123
Mistral 7B,-0.4506,0.2277,-0.346,-0.7584,,-0.7423,-0.3269,-0.6688,-0.0393,-0.5527
Mistral Large 123B,0.311,0.9079,0.407,0.0139,0.7423,,0.4692,0.0894,0.6751,0.2201
Mixtral 8x7B,-0.1535,0.5422,-0.047,-0.4714,0.3269,-0.4692,,-0.3849,0.2618,-0.2555
Qwen2.5 72B,0.2251,0.843,0.3236,-0.0778,0.6688,-0.0894,0.3849,,0.6005,0.1317
Qwen2.5 7B,-0.3872,0.2397,-0.2874,-0.6858,0.0393,-0.6751,-0.2618,-0.6005,,-0.4846
Qwen3 32B,0.0962,0.7385,0.1975,-0.2123,0.5527,-0.2201,0.2555,-0.1317,0.4846,
