model,model_label,accession,gene_name,organism,namespace,prompt_id,primary_error,sub_errors,hallucination_rate,n_predicted,n_ground_truth,n_correct,precision,recall,response_text,ground_truth,hallucinated_ids,missed_ids
mistral-large:123b,Mistral Large 123B,P0A6M8,EFG,ecoli,biological_process,P5_selection,complete_hallucination,high_hallucination,1.0,1,1,0,0.0,0.0,GO:0006412 | translation,GO:0006414|translational elongation,['GO:0006412'],['GO:0006414']
mistral-large:123b,Mistral Large 123B,P77434,ALAC,ecoli,molecular_function,P3_fewshot,complete_miss,partial_hallucination,0.4,5,3,0,0.0,0.0,"Based on the known function of the protein ALAC (Glutamate-pyruvate aminotransferase AlaC) in Escherichia coli (strain K12), the following Gene Ontology (GO) Molecular Function terms can be predicted:

GO:0004302 | aminotransferase activity
GO:0003824 | catalytic activity
GO:0016829 | lyase activity",GO:0004021|L-alanine:2-oxoglutarate aminotransferase activity; GO:0042803|protein homodimerization activity; GO:0008483|transaminase activity,"['GO:0016829', 'GO:0004302']","['GO:0042803', 'GO:0008483', 'GO:0004021']"
mistral-large:123b,Mistral Large 123B,P32486,KRE6,yeast,molecular_function,P5_selection,complete_miss,partial_hallucination,0.333,3,1,0,0.0,0.0,"GO:0005515 | protein binding
GO:0046872 | metal ion binding
GO:0016740 | transferase activity",GO:0015926|glucosidase activity,['GO:0005515'],['GO:0015926']
mistral-large:123b,Mistral Large 123B,P0A738,MOAC,ecoli,cellular_component,P5_selection,complete_miss,,0.0,2,1,0,0.0,0.0,"GO:0005829 | cytosol
GO:0005737 | cytoplasm",GO:0032991|protein-containing complex,[],['GO:0032991']
mistral-large:123b,Mistral Large 123B,Q5CZC0,FSIP2,human,cellular_component,P4_cot,complete_miss,partial_hallucination,0.4,5,4,0,0.0,0.0,"
### Step 1: What is the protein's primary biochemical activity?
FSIP2 (Fibrous sheath-interacting protein 2) is involved in spermatogenesis, which suggests it plays a role in the development and maturation of sperm cells. Its primary biochemical activity likely involves interactions with the fibrou",GO:0097229|sperm end piece; GO:0120212|sperm head-tail coupling apparatus; GO:0097225|sperm midpiece; GO:0097228|sperm principal piece,"['GO:0030286', 'GO:0098557']","['GO:0097228', 'GO:0120212', 'GO:0097225', 'GO:0097229']"
mistral-large:123b,Mistral Large 123B,Q8K352,SASH3,mouse,biological_process,P1_zeroshot,complete_miss,high_hallucination,0.833,6,14,0,0.0,0.0,"Based on the known function of SASH3 as a signaling adapter protein in lymphocytes, the following Gene Ontology (GO) Biological Process terms would best describe this protein:

1. **GO:0007166 | cell surface receptor signaling pathway**
   - This term is relevant because SASH3 is involved in signali",GO:0048873|homeostasis of number of cells within a tissue; GO:0002821|positive regulation of adaptive immune response; GO:0030890|positive regulation of B cell proliferation; GO:0043372|positive regul,"['GO:0007249', 'GO:0043312', 'GO:0002764', 'GO:0002449', 'GO:0007166']","['GO:0032743', 'GO:0002726', 'GO:0048873', 'GO:0046622', 'GO:0051251']"
mistral-large:123b,Mistral Large 123B,P0AA41,TRUC,ecoli,biological_process,P3_fewshot,complete_miss,partial_hallucination,0.333,3,4,0,0.0,0.0,"Based on the known function of TRUC (tRNA pseudouridine synthase C) in Escherichia coli, which is responsible for the synthesis of pseudouridine from uracil-65 in transfer RNAs, the predicted Gene Ontology (GO) Biological Process terms would be:

GO:0006418 | tRNA modification
GO:0008154 | tRNA pseu",GO:0009451|RNA modification; GO:0006399|tRNA metabolic process; GO:0008033|tRNA processing; GO:0031119|tRNA pseudouridine synthesis,['GO:0008154'],"['GO:0006399', 'GO:0008033', 'GO:0009451', 'GO:0031119']"
mistral-large:123b,Mistral Large 123B,O75414,NDK6,human,molecular_function,P4_cot,complete_hallucination,high_hallucination,1.0,3,1,0,0.0,0.0,"
### Step 1: What is the protein's primary biochemical activity?
The primary biochemical activity of NDK6 is to catalyze the transfer of a gamma-phosphoryl group from a nucleoside triphosphate (mainly ATP) to a nucleoside diphosphate. This activity involves the formation of a phosphohistidine interm",GO:0004550|nucleoside diphosphate kinase activity,"['GO:0004526', 'GO:0004524', 'GO:0004525']",['GO:0004550']
mistral-large:123b,Mistral Large 123B,P79724,HXADB,zebrafish,biological_process,P5_selection,complete_miss,,0.0,3,2,0,0.0,0.0,"GO:0006351 | DNA-templated transcription
GO:0006355 | regulation of DNA-templated transcription
GO:0045944 | positive regulation of transcription by RNA polymerase II",GO:0033333|fin development; GO:0000122|negative regulation of transcription by RNA polymerase II,[],"['GO:0033333', 'GO:0000122']"
mistral-large:123b,Mistral Large 123B,Q9Z0G9,CLD3,mouse,biological_process,P3_fewshot,complete_miss,high_hallucination,0.8,5,4,0,0.0,0.0,"Based on the known function of Claudin-3 (CLD3) in Mus musculus, which involves tight junction-specific obliteration of the intercellular space and calcium-independent cell-adhesion activity, the predicted Gene Ontology (GO) Biological Process terms are:

GO:0007155 | cell adhesion
GO:0007043 | cell",GO:0016338|calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules; GO:0034331|cell junction maintenance; GO:0003382|epithelial cell morphogenesis; GO:0014045|establishment ,"['GO:0007042', 'GO:0007043', 'GO:0007047', 'GO:0007044']","['GO:0003382', 'GO:0014045', 'GO:0034331', 'GO:0016338']"
