organism,namespace_short,precision,recall,f1,hallucination_rate,empty_response,n_predicted,n_ground_truth
ecoli,BP,0.0224,0.049,0.0269,0.5747,0.0633,5.6099,2.135
ecoli,CC,0.1197,0.2258,0.1408,0.2854,0.0336,3.6148,1.35
ecoli,MF,0.0319,0.0645,0.0383,0.4958,0.0229,4.3518,2.125
human,BP,0.0233,0.0389,0.023,0.4726,0.0339,7.6126,4.085
human,CC,0.1892,0.2434,0.1859,0.2513,0.0275,4.7335,3.07
human,MF,0.0321,0.0554,0.0349,0.4863,0.0237,5.1053,2.15
mouse,BP,0.0241,0.0319,0.0214,0.4536,0.0334,7.7904,6.305
mouse,CC,0.1295,0.2271,0.1425,0.2651,0.0299,4.9113,2.395
mouse,MF,0.0276,0.0533,0.0317,0.4754,0.0279,5.2117,1.325
yeast,BP,0.0295,0.0635,0.0348,0.5234,0.0404,6.5368,2.73
yeast,CC,0.1836,0.2523,0.1898,0.2502,0.0247,4.1498,2.53
yeast,MF,0.0248,0.0648,0.0325,0.4665,0.0255,4.6068,1.185
zebrafish,BP,0.0147,0.0177,0.0133,0.4696,0.0369,7.0304,5.9
zebrafish,CC,0.0351,0.0875,0.0449,0.2643,0.0313,4.4698,0.475
zebrafish,MF,0.0153,0.0336,0.0187,0.4649,0.0256,4.7438,0.605
