,Gemma-4 31B,Gemma3 12B,Llama 3.1 8B,Llama 3.3 70B,Mistral 7B,Mistral Large 123B,Mixtral 8x7B,Qwen2.5 72B,Qwen2.5 7B,Qwen3 32B
Gemma-4 31B,,0.0,0.000265,0.0,0.0,0.0,0.0,0.0,0.0,0.006033
Gemma3 12B,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3.1 8B,0.000265,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Llama 3.3 70B,0.0,0.0,0.0,,0.0,1.0,0.0,0.00497,0.0,0.0
Mistral 7B,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
Mistral Large 123B,0.0,0.0,0.0,1.0,0.0,,0.0,0.000507,0.0,0.0
Mixtral 8x7B,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
Qwen2.5 72B,0.0,0.0,0.0,0.00497,0.0,0.000507,0.0,,0.0,0.0
Qwen2.5 7B,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0
Qwen3 32B,0.006033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
