"model","accession","gene_name","organism","namespace","prompt_id","llm_sim"
"Mistral Large 123B","Q9H3U1","UN45A","human","molecular_function","P1_zeroshot",0.657
"Mistral Large 123B","Q9H3U1","UN45A","human","molecular_function","P2_constrained",0.657
"Mistral Large 123B","Q9H3U1","UN45A","human","molecular_function","P3_fewshot",0.657
"Mistral Large 123B","Q9H3U1","UN45A","human","molecular_function","P4_cot",0.657
"Mistral Large 123B","Q9H3U1","UN45A","human","molecular_function","P5_selection",0.657
"Mistral Large 123B","Q9H3U1","UN45A","human","cellular_component","P1_zeroshot",0.582
"Mistral Large 123B","Q9H3U1","UN45A","human","cellular_component","P2_constrained",0.76
"Mistral Large 123B","Q9H3U1","UN45A","human","cellular_component","P3_fewshot",0.468
"Mistral Large 123B","Q9H3U1","UN45A","human","cellular_component","P4_cot",0.641
"Mistral Large 123B","Q9H3U1","UN45A","human","cellular_component","P5_selection",0.759
"Mistral Large 123B","O75508","CLD11","human","molecular_function","P1_zeroshot",0.411
"Mistral Large 123B","O75508","CLD11","human","molecular_function","P2_constrained",0.788
"Mistral Large 123B","O75508","CLD11","human","molecular_function","P3_fewshot",0.788
"Mistral Large 123B","O75508","CLD11","human","molecular_function","P4_cot",0.411
"Mistral Large 123B","O75508","CLD11","human","molecular_function","P5_selection",0.788
"Mistral Large 123B","O75508","CLD11","human","biological_process","P1_zeroshot",0.196
"Mistral Large 123B","O75508","CLD11","human","biological_process","P2_constrained",0.196
"Mistral Large 123B","O75508","CLD11","human","biological_process","P3_fewshot",0.821
"Mistral Large 123B","O75508","CLD11","human","biological_process","P4_cot",0.821
"Mistral Large 123B","O75508","CLD11","human","cellular_component","P1_zeroshot",0.702
"Mistral Large 123B","O75508","CLD11","human","cellular_component","P2_constrained",0.57
"Mistral Large 123B","O75508","CLD11","human","cellular_component","P3_fewshot",0.624
"Mistral Large 123B","O75508","CLD11","human","cellular_component","P4_cot",0.688
"Mistral Large 123B","O75508","CLD11","human","cellular_component","P5_selection",0.546
"Mistral Large 123B","P05062","ALDOB","human","molecular_function","P1_zeroshot",0.684
"Mistral Large 123B","P05062","ALDOB","human","molecular_function","P2_constrained",0.381
"Mistral Large 123B","P05062","ALDOB","human","molecular_function","P3_fewshot",0.584
"Mistral Large 123B","P05062","ALDOB","human","molecular_function","P4_cot",0.657
"Mistral Large 123B","P05062","ALDOB","human","molecular_function","P5_selection",0.485
"Mistral Large 123B","P05062","ALDOB","human","biological_process","P1_zeroshot",0.588
"Mistral Large 123B","P05062","ALDOB","human","biological_process","P2_constrained",0.618
"Mistral Large 123B","P05062","ALDOB","human","biological_process","P3_fewshot",0.422
