organism,primary_error,count
ecoli,complete_hallucination,3813
ecoli,complete_miss,19822
ecoli,correct,196
ecoli,empty_response,1198
ecoli,partial_match_good,1007
ecoli,partial_match_high_precision,197
ecoli,partial_match_high_recall,2470
ecoli,partial_match_poor,1297
human,complete_hallucination,2080
human,complete_miss,19357
human,correct,59
human,empty_response,851
human,partial_match_good,882
human,partial_match_high_precision,841
human,partial_match_high_recall,2295
human,partial_match_poor,3635
mouse,complete_hallucination,1953
mouse,complete_miss,20646
mouse,correct,70
mouse,empty_response,912
mouse,partial_match_good,639
mouse,partial_match_high_precision,373
mouse,partial_match_high_recall,2622
mouse,partial_match_poor,2785
yeast,complete_hallucination,2829
yeast,complete_miss,19022
yeast,correct,129
yeast,empty_response,906
yeast,partial_match_good,1094
yeast,partial_match_high_precision,552
yeast,partial_match_high_recall,2894
yeast,partial_match_poor,2574
zebrafish,complete_hallucination,2307
zebrafish,complete_miss,24213
zebrafish,correct,50
zebrafish,empty_response,938
zebrafish,partial_match_good,188
zebrafish,partial_match_high_precision,85
zebrafish,partial_match_high_recall,1136
zebrafish,partial_match_poor,1083
